city,country_name,aqi_value,pm25_aqi_value,lat,lng
Praskoveya,Russian Federation,51,51,44.7444,44.2031
Presidente Dutra,Brazil,41,41,-5.29,-44.49
Presidente Dutra,Brazil,41,41,-11.2958,-41.9869
Priolo Gargallo,Italy,66,66,37.1667,15.1833
Przasnysz,Poland,34,20,53.0167,20.8833
Punta Gorda,United States of America,54,54,16.1005,-88.8074
Punta Gorda,United States of America,54,54,26.8941,-82.0513
Puurs,Belgium,64,64,51.0761,4.2803
Pyatigorsk,Russian Federation,54,54,44.05,43.0667
Qinzhou,China,68,58,21.95,108.6167
Raalte,Netherlands,41,41,52.3833,6.2667
Raismes,France,59,59,50.3892,3.4858
Ramacca,Italy,55,55,37.3833,14.7
Phoenix,United States of America,72,72,33.5722,-112.0892
Piaseczno,Poland,28,28,52.0667,21.0167
Pinheiral,Brazil,154,154,-22.5128,-44.0008
Plato,Colombia,67,67,9.7919,-74.7872
Poiana Mare,Romania,62,62,43.9333,23.0833
Polevskoy,Russian Federation,31,17,56.45,60.1833
Pontarlier,France,56,56,46.9061,6.3547
Pontiac,United States of America,77,77,42.6493,-83.2878
Pontiac,United States of America,77,77,40.8894,-88.6409
Pontianak,Indonesia,44,44,-0.0206,109.3414
Porecatu,Brazil,30,30,-22.7558,-51.3789
Pori,Finland,30,15,61.4833,21.8
Port Elizabeth,South Africa,79,79,-33.9581,25.6
Port Neches,United States of America,34,34,29.9765,-93.9459
Port Talbot,United Kingdom of Great Britain and Northern Ireland,51,51,51.5906,-3.7986
Portales,United States of America,77,77,34.1754,-103.3565
Post Falls,United States of America,61,61,47.7213,-116.9384
Pouso Alegre,Brazil,32,32,-22.2281,-45.9336
Dalnegorsk,Russian Federation,29,25,44.55,135.5833
Darbhanga,India,247,247,26.17,85.9
Dayton,United States of America,45,45,39.7805,-84.2003
Dayton,United States of America,45,45,39.2592,-119.5653
Dayton,United States of America,45,45,30.0315,-94.9158
Deinze,Belgium,36,36,50.9833,3.5333
Delmas,Haiti,124,124,18.55,-72.3
Deming,United States of America,72,72,32.2631,-107.7525
Denton,United Kingdom of Great Britain and Northern Ireland,55,55,33.2175,-97.1418
Denton,United Kingdom of Great Britain and Northern Ireland,55,55,53.4554,-2.1122
Destin,United States of America,31,25,30.395,-86.4701
Dharmapuri,India,60,60,12.127,78.158
Dipolog,Philippines,30,30,8.5872,123.3408
Dobele,Latvia,44,44,56.6167,23.2667
Grandville,United States of America,47,47,42.9004,-85.7564
Grave,Netherlands,37,37,51.7667,5.7333
Green Valley,United States of America,44,44,31.8393,-111.0009
Green Valley,United States of America,44,44,39.3414,-77.24
Greendale,United States of America,58,58,42.9371,-88.0018
Guamo,Colombia,89,89,4.0833,-74.9167
Guardiagrele,Italy,52,52,42.2,14.2167
Guildford,United Kingdom of Great Britain and Northern Ireland,51,51,51.2365,-0.5703
Gukovo,Russian Federation,38,13,48.05,39.9167
Hazelwood,United States of America,88,88,38.7931,-90.3899
Heddesheim,Germany,54,54,49.5053,8.6033
Heiligenhaus,Germany,44,44,51.3167,6.9667
Hemel Hempstead,United Kingdom of Great Britain and Northern Ireland,51,51,51.7526,-0.4692
Hicksville,United States of America,67,67,40.7637,-73.5245
Haiger,Germany,49,49,50.7422,8.2039
Hangzhou,China,203,151,30.25,120.1675
Harrislee,Germany,35,35,54.7972,9.3764
Harrison,United States of America,90,90,40.7431,-74.1531
Harrison,United States of America,90,90,41.0236,-73.7193
Harrison,United States of America,90,90,36.2438,-93.1198
Harrison,United States of America,90,90,39.2584,-84.7868
Harrison,United States of America,90,90,44.1935,-88.2941
Harrison,United States of America,90,90,40.6374,-79.7173
Hasbergen,Germany,36,36,52.2167,7.9167
Haubourdin,France,48,48,50.6092,2.9869
Taunton,United States of America,41,41,51.019,-3.1
Taunton,United States of America,41,41,41.9036,-71.0943
Tauranga,New Zealand,19,17,-37.6833,176.1667
Teano,Italy,47,36,41.25,14.0667
Tekkali,India,155,155,18.6057,84.2355
Teodoro Sampaio,Brazil,46,46,-22.5328,-52.1678
Tequila,Mexico,64,64,20.8794,-103.8356
Teramo,Italy,44,38,42.6589,13.7039
Tianjin,China,142,142,39.1467,117.2056
Toboso,Philippines,54,54,10.7167,123.5167
Tokorozawa,Japan,60,60,35.7996,139.4686
Toluca,Mexico,166,166,19.2925,-99.6569
Itapissuma,Brazil,27,27,-7.7764,-34.8919
Itarantim,Brazil,23,23,-15.66,-40.0658
Itumbiara,Brazil,31,31,-18.4167,-49.2167
Izalco,El Salvador,90,90,13.7333,-89.6667
Izberbash,Russian Federation,51,51,42.5633,47.8636
Jabalpur,India,170,170,23.1667,79.9333
Jaguaquara,Brazil,22,22,-13.5308,-39.9708
Jarocin,Poland,47,47,51.9667,17.5
Jasaan,Philippines,59,59,8.65,124.75
Ilobu,Nigeria,133,133,7.84,4.486
Imatra,Finland,29,7,61.1833,28.7667
Indaial,Brazil,73,73,-26.8978,-49.2319
Indang,Philippines,50,50,14.2,120.8833
Itagi,Brazil,25,25,-14.1628,-40.0058
Iseyin,Nigeria,90,90,7.9667,3.6
Isla,Mexico,81,81,18.0292,-95.5264
Itaitinga,Brazil,29,29,-3.9689,-38.5278
Itapemirim,Brazil,44,44,-21.0108,-40.8339
Torit,South Sudan,65,65,4.4081,32.575
Trenton,United States of America,53,53,40.2237,-74.7641
Trenton,United States of America,53,53,42.1394,-83.1929
Trenton,United States of America,53,53,39.4792,-84.462
Trujillo Alto,United States of America,56,56,18.3599,-66.0096
Tullamore,Ireland,57,57,53.2667,-7.5
Tunceli,Turkey,62,62,39.1064,39.5472
Two Rivers,United States of America,49,49,44.1565,-87.5824
Tyukalinsk,Russian Federation,34,32,55.8667,72.2
Umaria,India,163,163,23.5247,80.8372
Willowbrook,United States of America,126,126,33.9209,-118.2356
Willowbrook,United States of America,126,126,41.7641,-87.9454
Wilmette,United States of America,63,63,42.0771,-87.7282
Wolf Trap,United States of America,53,53,38.9395,-77.2842
Woodhaven,United States of America,86,86,42.132,-83.2374
Xushan,China,112,112,30.1697,121.2665
Yancheng,China,155,151,33.3936,120.1339
Yangambi,Democratic Republic of the Congo,121,121,0.7675,24.4414
Yanji,China,69,69,42.9044,129.5067
Yankton,United States of America,47,47,42.8901,-97.3927
Wenden,Germany,69,69,50.9667,7.8667
Wetteren,Belgium,64,64,51.0,3.8833
Whitehorse,Canada,20,10,60.7029,-135.0691
Wicklow,Ireland,38,38,52.9779,-6.033
Wil,Switzerland,59,59,47.4667,9.05
Wildeshausen,Germany,67,67,52.9,8.4333
Williamsport,United States of America,75,75,41.2399,-77.037
Fox Lake,United States of America,60,60,42.4239,-88.1844
Frederikssund,Denmark,36,25,55.8333,12.0666
Friendly,United States of America,41,41,38.7601,-76.9642
Fuldatal,Germany,44,44,51.3484,9.5256
Furano,Japan,29,29,43.342,142.3832
Fuzhou,China,168,99,27.9814,116.3577
Fuzhou,China,168,99,26.0769,119.2917
Galashiels,United Kingdom of Great Britain and Northern Ireland,25,23,55.6194,-2.8033
Gangelt,Germany,41,41,50.9831,6.0
Garbsen,Germany,36,36,52.4183,9.5981
Garoua,Cameroon,59,59,9.3,13.4
Geertruidenberg,Netherlands,35,35,51.7,4.8586
Geraldton,Australia,29,13,-28.7744,114.6089
