country_code,indicator_code,year,impact_value
AFE,SH.STA.AIRP.P5,2019,158.428355555057
AFG,SH.STA.AIRP.P5,2019,265.7
AFW,SH.STA.AIRP.P5,2019,182.838948313298
AGO,SH.STA.AIRP.P5,2019,142.8
ALB,SH.STA.AIRP.P5,2019,92.5
ARB,SH.STA.AIRP.P5,2019,103.775508952357
ARE,SH.STA.AIRP.P5,2019,70.0
ARG,SH.STA.AIRP.P5,2019,29.7
ARM,SH.STA.AIRP.P5,2019,74.5
ATG,SH.STA.AIRP.P5,2019,19.3
AUS,SH.STA.AIRP.P5,2019,9.8
AUT,SH.STA.AIRP.P5,2019,17.5
AZE,SH.STA.AIRP.P5,2019,125.2
BDI,SH.STA.AIRP.P5,2019,205.9
BEL,SH.STA.AIRP.P5,2019,15.3
BEN,SH.STA.AIRP.P5,2019,201.8
BFA,SH.STA.AIRP.P5,2019,201.3
BGD,SH.STA.AIRP.P5,2019,143.9
BGR,SH.STA.AIRP.P5,2019,62.9
BHR,SH.STA.AIRP.P5,2019,68.1
BHS,SH.STA.AIRP.P5,2019,10.4
BIH,SH.STA.AIRP.P5,2019,113.9
BLR,SH.STA.AIRP.P5,2019,69.9
BLZ,SH.STA.AIRP.P5,2019,41.0
BOL,SH.STA.AIRP.P5,2019,77.1
BRA,SH.STA.AIRP.P5,2019,28.9
BRB,SH.STA.AIRP.P5,2019,18.8
BRN,SH.STA.AIRP.P5,2019,19.6
BTN,SH.STA.AIRP.P5,2019,94.3
BWA,SH.STA.AIRP.P5,2019,140.7
CAF,SH.STA.AIRP.P5,2019,305.1
CAN,SH.STA.AIRP.P5,2019,8.1
CEB,SH.STA.AIRP.P5,2019,44.8659906651865
CHE,SH.STA.AIRP.P5,2019,10.4
CHL,SH.STA.AIRP.P5,2019,17.9
CHN,SH.STA.AIRP.P5,2019,95.3
CIV,SH.STA.AIRP.P5,2019,186.5
CMR,SH.STA.AIRP.P5,2019,206.7
COD,SH.STA.AIRP.P5,2019,209.8
COG,SH.STA.AIRP.P5,2019,170.4
COL,SH.STA.AIRP.P5,2019,31.3
COM,SH.STA.AIRP.P5,2019,164.6
CPV,SH.STA.AIRP.P5,2019,91.2
CRI,SH.STA.AIRP.P5,2019,17.8
CSS,SH.STA.AIRP.P5,2019,40.7019406686502
CUB,SH.STA.AIRP.P5,2019,41.9
CYP,SH.STA.AIRP.P5,2019,15.8
CZE,SH.STA.AIRP.P5,2019,32.5
DEU,SH.STA.AIRP.P5,2019,14.7
DJI,SH.STA.AIRP.P5,2019,177.9
DNK,SH.STA.AIRP.P5,2019,12.9
DOM,SH.STA.AIRP.P5,2019,41.3
DZA,SH.STA.AIRP.P5,2019,49.7
EAP,SH.STA.AIRP.P5,2019,104.758497712364
EAR,SH.STA.AIRP.P5,2019,126.808580206607
EAS,SH.STA.AIRP.P5,2019,96.342990849924
ECA,SH.STA.AIRP.P5,2019,86.3107520653828
ECS,SH.STA.AIRP.P5,2019,44.7209694970376
ECU,SH.STA.AIRP.P5,2019,28.1
EGY,SH.STA.AIRP.P5,2019,105.6
EMU,SH.STA.AIRP.P5,2019,13.9946070960159
ERI,SH.STA.AIRP.P5,2019,237.4
ESP,SH.STA.AIRP.P5,2019,10.1
EST,SH.STA.AIRP.P5,2019,12.8
ETH,SH.STA.AIRP.P5,2019,142.5
EUU,SH.STA.AIRP.P5,2019,20.2426533467097
FCS,SH.STA.AIRP.P5,2019,167.436755454096
FIN,SH.STA.AIRP.P5,2019,7.4
FJI,SH.STA.AIRP.P5,2019,118.7
FRA,SH.STA.AIRP.P5,2019,10.0
FSM,SH.STA.AIRP.P5,2019,254.0
GAB,SH.STA.AIRP.P5,2019,78.3
GBR,SH.STA.AIRP.P5,2019,13.4
GEO,SH.STA.AIRP.P5,2019,92.8
GHA,SH.STA.AIRP.P5,2019,193.6
GIN,SH.STA.AIRP.P5,2019,238.0
GMB,SH.STA.AIRP.P5,2019,220.5
GNB,SH.STA.AIRP.P5,2019,228.8
GNQ,SH.STA.AIRP.P5,2019,165.7
GRC,SH.STA.AIRP.P5,2019,23.0
GRD,SH.STA.AIRP.P5,2019,47.4
GTM,SH.STA.AIRP.P5,2019,91.0
GUY,SH.STA.AIRP.P5,2019,95.7
HIC,SH.STA.AIRP.P5,2019,24.4204023355218
HND,SH.STA.AIRP.P5,2019,112.5
HPC,SH.STA.AIRP.P5,2019,181.850593685821
HRV,SH.STA.AIRP.P5,2019,31.3
HTI,SH.STA.AIRP.P5,2019,206.4
HUN,SH.STA.AIRP.P5,2019,42.3
IBD,SH.STA.AIRP.P5,2019,98.6437247532736
IBT,SH.STA.AIRP.P5,2019,118.559996377422
IDA,SH.STA.AIRP.P5,2019,173.787016322291
IDB,SH.STA.AIRP.P5,2019,175.202347314304
IDN,SH.STA.AIRP.P5,2019,96.1
IDX,SH.STA.AIRP.P5,2019,173.02026742926
IND,SH.STA.AIRP.P5,2019,139.3
IRL,SH.STA.AIRP.P5,2019,12.8
IRN,SH.STA.AIRP.P5,2019,58.1
IRQ,SH.STA.AIRP.P5,2019,89.7
ISL,SH.STA.AIRP.P5,2019,8.2
ISR,SH.STA.AIRP.P5,2019,15.1
ITA,SH.STA.AIRP.P5,2019,15.0
JAM,SH.STA.AIRP.P5,2019,35.9
JOR,SH.STA.AIRP.P5,2019,38.7
JPN,SH.STA.AIRP.P5,2019,11.8
KAZ,SH.STA.AIRP.P5,2019,83.4
KEN,SH.STA.AIRP.P5,2019,131.9
KGZ,SH.STA.AIRP.P5,2019,124.9
KHM,SH.STA.AIRP.P5,2019,163.3
KIR,SH.STA.AIRP.P5,2019,246.6
KOR,SH.STA.AIRP.P5,2019,18.9
KWT,SH.STA.AIRP.P5,2019,45.2
LAC,SH.STA.AIRP.P5,2019,42.4612853399571
LAO,SH.STA.AIRP.P5,2019,195.3
LBN,SH.STA.AIRP.P5,2019,58.6
LBR,SH.STA.AIRP.P5,2019,152.7
LBY,SH.STA.AIRP.P5,2019,53.9
LCA,SH.STA.AIRP.P5,2019,27.7
LCN,SH.STA.AIRP.P5,2019,41.0646854316018
LDC,SH.STA.AIRP.P5,2019,175.981216880899
LIC,SH.STA.AIRP.P5,2019,195.923222339485
LKA,SH.STA.AIRP.P5,2019,91.6
LMC,SH.STA.AIRP.P5,2019,147.956098310045
LMY,SH.STA.AIRP.P5,2019,121.230536035516
LSO,SH.STA.AIRP.P5,2019,288.3
LTE,SH.STA.AIRP.P5,2019,82.4779641953252
LTU,SH.STA.AIRP.P5,2019,38.8
LUX,SH.STA.AIRP.P5,2019,12.5
LVA,SH.STA.AIRP.P5,2019,40.1
MAR,SH.STA.AIRP.P5,2019,66.6
MDA,SH.STA.AIRP.P5,2019,68.9
MDG,SH.STA.AIRP.P5,2019,208.0
MDV,SH.STA.AIRP.P5,2019,32.0
MEA,SH.STA.AIRP.P5,2019,127.480639969079
MEX,SH.STA.AIRP.P5,2019,44.7
MIC,SH.STA.AIRP.P5,2019,114.079060365971
MKD,SH.STA.AIRP.P5,2019,95.6
MLI,SH.STA.AIRP.P5,2019,167.1
MLT,SH.STA.AIRP.P5,2019,20.9
MMR,SH.STA.AIRP.P5,2019,184.1
MNA,SH.STA.AIRP.P5,2019,132.461520606076
MNE,SH.STA.AIRP.P5,2019,115.2
MNG,SH.STA.AIRP.P5,2019,214.7
MOZ,SH.STA.AIRP.P5,2019,228.4
MRT,SH.STA.AIRP.P5,2019,128.4
MUS,SH.STA.AIRP.P5,2019,34.7
MWI,SH.STA.AIRP.P5,2019,148.5
MYS,SH.STA.AIRP.P5,2019,76.5
NAC,SH.STA.AIRP.P5,2019,13.5761693296771
NAM,SH.STA.AIRP.P5,2019,142.5
NER,SH.STA.AIRP.P5,2019,213.3
