country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
Russian Federation,Praskoveya,51,1,36,0,51,44.7444,44.2031
Brazil,Presidente Dutra,41,1,5,1,41,-5.29,-44.49
Brazil,Presidente Dutra,41,1,5,1,41,-11.2958,-41.9869
Italy,Priolo Gargallo,66,1,39,2,66,37.1667,15.1833
Poland,Przasnysz,34,1,34,0,20,53.0167,20.8833
United States of America,Punta Gorda,54,1,14,11,54,16.1005,-88.8074
United States of America,Punta Gorda,54,1,14,11,54,26.8941,-82.0513
Belgium,Puurs,64,1,29,7,64,51.0761,4.2803
Russian Federation,Pyatigorsk,54,1,41,1,54,44.05,43.0667
China,Qinzhou,68,2,68,1,58,21.95,108.6167
Netherlands,Raalte,41,1,24,6,41,52.3833,6.2667
France,Raismes,59,1,30,4,59,50.3892,3.4858
Italy,Ramacca,55,1,47,0,55,37.3833,14.7
United States of America,Phoenix,72,1,4,23,72,33.5722,-112.0892
Poland,Piaseczno,28,1,28,2,28,52.0667,21.0167
Brazil,Pinheiral,154,5,0,13,154,-22.5128,-44.0008
Colombia,Plato,67,1,16,2,67,9.7919,-74.7872
Romania,Poiana Mare,62,1,37,1,62,43.9333,23.0833
Russian Federation,Polevskoy,31,1,31,0,17,56.45,60.1833
France,Pontarlier,56,1,35,0,56,46.9061,6.3547
United States of America,Pontiac,77,2,22,15,77,42.6493,-83.2878
United States of America,Pontiac,77,2,22,15,77,40.8894,-88.6409
Indonesia,Pontianak,44,1,15,0,44,-0.0206,109.3414
Brazil,Porecatu,30,1,9,2,30,-22.7558,-51.3789
Finland,Pori,30,1,30,1,15,61.4833,21.8
South Africa,Port Elizabeth,79,3,18,5,79,-33.9581,25.6
United States of America,Port Neches,34,1,19,7,34,29.9765,-93.9459
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,1,20,5,51,51.5906,-3.7986
United States of America,Portales,77,1,34,0,77,34.1754,-103.3565
United States of America,Post Falls,61,1,32,3,61,47.7213,-116.9384
Brazil,Pouso Alegre,32,1,7,2,32,-22.2281,-45.9336
Russian Federation,Dalnegorsk,29,0,29,0,25,44.55,135.5833
India,Darbhanga,247,3,162,1,247,26.17,85.9
United States of America,Dayton,45,1,32,7,45,39.7805,-84.2003
United States of America,Dayton,45,1,32,7,45,39.2592,-119.5653
United States of America,Dayton,45,1,32,7,45,30.0315,-94.9158
Belgium,Deinze,36,1,25,3,36,50.9833,3.5333
Haiti,Delmas,124,2,15,5,124,18.55,-72.3
United States of America,Deming,72,1,26,2,72,32.2631,-107.7525
United Kingdom of Great Britain and Northern Ireland,Denton,55,0,32,1,55,33.2175,-97.1418
United Kingdom of Great Britain and Northern Ireland,Denton,55,0,32,1,55,53.4554,-2.1122
United States of America,Destin,31,0,31,0,25,30.395,-86.4701
India,Dharmapuri,60,1,31,1,60,12.127,78.158
Philippines,Dipolog,30,1,17,0,30,8.5872,123.3408
Latvia,Dobele,44,1,34,0,44,56.6167,23.2667
United States of America,Grandville,47,1,37,4,47,42.9004,-85.7564
Netherlands,Grave,37,0,32,2,37,51.7667,5.7333
United States of America,Green Valley,44,1,14,8,44,31.8393,-111.0009
United States of America,Green Valley,44,1,14,8,44,39.3414,-77.24
