country_code,country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
RUS,Russian Federation,Praskoveya,51,1,36,0,51,44.7444,44.2031
BRA,Brazil,Presidente Dutra,41,1,5,1,41,-5.29,-44.49
BRA,Brazil,Presidente Dutra,41,1,5,1,41,-11.2958,-41.9869
ITA,Italy,Priolo Gargallo,66,1,39,2,66,37.1667,15.1833
POL,Poland,Przasnysz,34,1,34,0,20,53.0167,20.8833
USA,United States of America,Punta Gorda,54,1,14,11,54,16.1005,-88.8074
USA,United States of America,Punta Gorda,54,1,14,11,54,26.8941,-82.0513
BEL,Belgium,Puurs,64,1,29,7,64,51.0761,4.2803
RUS,Russian Federation,Pyatigorsk,54,1,41,1,54,44.05,43.0667
CHN,China,Qinzhou,68,2,68,1,58,21.95,108.6167
NLD,Netherlands,Raalte,41,1,24,6,41,52.3833,6.2667
FRA,France,Raismes,59,1,30,4,59,50.3892,3.4858
ITA,Italy,Ramacca,55,1,47,0,55,37.3833,14.7
USA,United States of America,Phoenix,72,1,4,23,72,33.5722,-112.0892
POL,Poland,Piaseczno,28,1,28,2,28,52.0667,21.0167
BRA,Brazil,Pinheiral,154,5,0,13,154,-22.5128,-44.0008
COL,Colombia,Plato,67,1,16,2,67,9.7919,-74.7872
ROU,Romania,Poiana Mare,62,1,37,1,62,43.9333,23.0833
RUS,Russian Federation,Polevskoy,31,1,31,0,17,56.45,60.1833
FRA,France,Pontarlier,56,1,35,0,56,46.9061,6.3547
USA,United States of America,Pontiac,77,2,22,15,77,42.6493,-83.2878
USA,United States of America,Pontiac,77,2,22,15,77,40.8894,-88.6409
IDN,Indonesia,Pontianak,44,1,15,0,44,-0.0206,109.3414
BRA,Brazil,Porecatu,30,1,9,2,30,-22.7558,-51.3789
FIN,Finland,Pori,30,1,30,1,15,61.4833,21.8
ZAF,South Africa,Port Elizabeth,79,3,18,5,79,-33.9581,25.6
USA,United States of America,Port Neches,34,1,19,7,34,29.9765,-93.9459
GBR,United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,1,20,5,51,51.5906,-3.7986
USA,United States of America,Portales,77,1,34,0,77,34.1754,-103.3565
USA,United States of America,Post Falls,61,1,32,3,61,47.7213,-116.9384
BRA,Brazil,Pouso Alegre,32,1,7,2,32,-22.2281,-45.9336
RUS,Russian Federation,Dalnegorsk,29,0,29,0,25,44.55,135.5833
IND,India,Darbhanga,247,3,162,1,247,26.17,85.9
USA,United States of America,Dayton,45,1,32,7,45,39.7805,-84.2003
USA,United States of America,Dayton,45,1,32,7,45,39.2592,-119.5653
USA,United States of America,Dayton,45,1,32,7,45,30.0315,-94.9158
BEL,Belgium,Deinze,36,1,25,3,36,50.9833,3.5333
HTI,Haiti,Delmas,124,2,15,5,124,18.55,-72.3
USA,United States of America,Deming,72,1,26,2,72,32.2631,-107.7525
GBR,United Kingdom of Great Britain and Northern Ireland,Denton,55,0,32,1,55,33.2175,-97.1418
GBR,United Kingdom of Great Britain and Northern Ireland,Denton,55,0,32,1,55,53.4554,-2.1122
USA,United States of America,Destin,31,0,31,0,25,30.395,-86.4701
IND,India,Dharmapuri,60,1,31,1,60,12.127,78.158
PHL,Philippines,Dipolog,30,1,17,0,30,8.5872,123.3408
LVA,Latvia,Dobele,44,1,34,0,44,56.6167,23.2667
USA,United States of America,Grandville,47,1,37,4,47,42.9004,-85.7564
NLD,Netherlands,Grave,37,0,32,2,37,51.7667,5.7333
USA,United States of America,Green Valley,44,1,14,8,44,31.8393,-111.0009
USA,United States of America,Green Valley,44,1,14,8,44,39.3414,-77.24
USA,United States of America,Greendale,58,2,14,24,58,42.9371,-88.0018
COL,Colombia,Guamo,89,3,3,6,89,4.0833,-74.9167
ITA,Italy,Guardiagrele,52,2,38,7,52,42.2,14.2167
GBR,United Kingdom of Great Britain and Northern Ireland,Guildford,51,1,25,6,51,51.2365,-0.5703
RUS,Russian Federation,Gukovo,38,1,38,0,13,48.05,39.9167
USA,United States of America,Hazelwood,88,2,11,20,88,38.7931,-90.3899
DEU,Germany,Heddesheim,54,1,31,3,54,49.5053,8.6033
DEU,Germany,Heiligenhaus,44,1,28,3,44,51.3167,6.9667
GBR,United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,1,26,6,51,51.7526,-0.4692
USA,United States of America,Hicksville,67,2,15,23,67,40.7637,-73.5245
DEU,Germany,Haiger,49,1,25,3,49,50.7422,8.2039
CHN,China,Hangzhou,203,5,203,5,151,30.25,120.1675
DEU,Germany,Harrislee,35,0,32,0,35,54.7972,9.3764
USA,United States of America,Harrison,90,1,25,2,90,40.7431,-74.1531
USA,United States of America,Harrison,90,1,25,2,90,41.0236,-73.7193
USA,United States of America,Harrison,90,1,25,2,90,36.2438,-93.1198
USA,United States of America,Harrison,90,1,25,2,90,39.2584,-84.7868
USA,United States of America,Harrison,90,1,25,2,90,44.1935,-88.2941
USA,United States of America,Harrison,90,1,25,2,90,40.6374,-79.7173
DEU,Germany,Hasbergen,36,0,34,1,36,52.2167,7.9167
FRA,France,Haubourdin,48,1,28,4,48,50.6092,2.9869
USA,United States of America,Taunton,41,1,28,10,41,51.019,-3.1
USA,United States of America,Taunton,41,1,28,10,41,41.9036,-71.0943
NZL,New Zealand,Tauranga,19,0,19,1,17,-37.6833,176.1667
ITA,Italy,Teano,47,1,47,1,36,41.25,14.0667
IND,India,Tekkali,155,3,82,1,155,18.6057,84.2355
BRA,Brazil,Teodoro Sampaio,46,1,9,1,46,-22.5328,-52.1678
MEX,Mexico,Tequila,64,1,15,2,64,20.8794,-103.8356
ITA,Italy,Teramo,44,1,44,1,38,42.6589,13.7039
CHN,China,Tianjin,142,4,113,9,142,39.1467,117.2056
PHL,Philippines,Toboso,54,1,20,0,54,10.7167,123.5167
JPN,Japan,Tokorozawa,60,1,44,3,60,35.7996,139.4686
