country_code,indicator_code,year,impact_value
AFG,SH.STA.AIRP.P5,2019,265.7
AGO,SH.STA.AIRP.P5,2019,142.8
ALB,SH.STA.AIRP.P5,2019,92.5
ARE,SH.STA.AIRP.P5,2019,70.0
ARG,SH.STA.AIRP.P5,2019,29.7
ARM,SH.STA.AIRP.P5,2019,74.5
ATG,SH.STA.AIRP.P5,2019,19.3
AUS,SH.STA.AIRP.P5,2019,9.8
AUT,SH.STA.AIRP.P5,2019,17.5
AZE,SH.STA.AIRP.P5,2019,125.2
BDI,SH.STA.AIRP.P5,2019,205.9
BEL,SH.STA.AIRP.P5,2019,15.3
BEN,SH.STA.AIRP.P5,2019,201.8
BFA,SH.STA.AIRP.P5,2019,201.3
BGD,SH.STA.AIRP.P5,2019,143.9
BGR,SH.STA.AIRP.P5,2019,62.9
BHR,SH.STA.AIRP.P5,2019,68.1
BHS,SH.STA.AIRP.P5,2019,10.4
BIH,SH.STA.AIRP.P5,2019,113.9
BLR,SH.STA.AIRP.P5,2019,69.9
BLZ,SH.STA.AIRP.P5,2019,41.0
BOL,SH.STA.AIRP.P5,2019,77.1
BRA,SH.STA.AIRP.P5,2019,28.9
BRB,SH.STA.AIRP.P5,2019,18.8
BRN,SH.STA.AIRP.P5,2019,19.6
BTN,SH.STA.AIRP.P5,2019,94.3
BWA,SH.STA.AIRP.P5,2019,140.7
CAF,SH.STA.AIRP.P5,2019,305.1
CAN,SH.STA.AIRP.P5,2019,8.1
CHE,SH.STA.AIRP.P5,2019,10.4
CHL,SH.STA.AIRP.P5,2019,17.9
CHN,SH.STA.AIRP.P5,2019,95.3
CIV,SH.STA.AIRP.P5,2019,186.5
CMR,SH.STA.AIRP.P5,2019,206.7
COD,SH.STA.AIRP.P5,2019,209.8
COG,SH.STA.AIRP.P5,2019,170.4
COL,SH.STA.AIRP.P5,2019,31.3
COM,SH.STA.AIRP.P5,2019,164.6
CPV,SH.STA.AIRP.P5,2019,91.2
CRI,SH.STA.AIRP.P5,2019,17.8
CUB,SH.STA.AIRP.P5,2019,41.9
CYP,SH.STA.AIRP.P5,2019,15.8
CZE,SH.STA.AIRP.P5,2019,32.5
DEU,SH.STA.AIRP.P5,2019,14.7
DJI,SH.STA.AIRP.P5,2019,177.9
DNK,SH.STA.AIRP.P5,2019,12.9
DOM,SH.STA.AIRP.P5,2019,41.3
DZA,SH.STA.AIRP.P5,2019,49.7
ECU,SH.STA.AIRP.P5,2019,28.1
EGY,SH.STA.AIRP.P5,2019,105.6
ERI,SH.STA.AIRP.P5,2019,237.4
ESP,SH.STA.AIRP.P5,2019,10.1
EST,SH.STA.AIRP.P5,2019,12.8
ETH,SH.STA.AIRP.P5,2019,142.5
FIN,SH.STA.AIRP.P5,2019,7.4
FJI,SH.STA.AIRP.P5,2019,118.7
FRA,SH.STA.AIRP.P5,2019,10.0
FSM,SH.STA.AIRP.P5,2019,254.0
GAB,SH.STA.AIRP.P5,2019,78.3
GBR,SH.STA.AIRP.P5,2019,13.4
GEO,SH.STA.AIRP.P5,2019,92.8
GHA,SH.STA.AIRP.P5,2019,193.6
GIN,SH.STA.AIRP.P5,2019,238.0
GMB,SH.STA.AIRP.P5,2019,220.5
GNB,SH.STA.AIRP.P5,2019,228.8
GNQ,SH.STA.AIRP.P5,2019,165.7
GRC,SH.STA.AIRP.P5,2019,23.0
GRD,SH.STA.AIRP.P5,2019,47.4
GTM,SH.STA.AIRP.P5,2019,91.0
GUY,SH.STA.AIRP.P5,2019,95.7
HND,SH.STA.AIRP.P5,2019,112.5
HRV,SH.STA.AIRP.P5,2019,31.3
HTI,SH.STA.AIRP.P5,2019,206.4
HUN,SH.STA.AIRP.P5,2019,42.3
IDN,SH.STA.AIRP.P5,2019,96.1
IND,SH.STA.AIRP.P5,2019,139.3
IRL,SH.STA.AIRP.P5,2019,12.8
IRN,SH.STA.AIRP.P5,2019,58.1
IRQ,SH.STA.AIRP.P5,2019,89.7
