country_code,city,year,pm25_concentration,pm10_concentration,no2_concentration,latitude,longitude
IND,Chennai,2018,30.0,\N,\N,13.08784,80.27847
IND,Solapur,2016,39.0,\N,\N,17.6599188,75.9063906
IND,Chennai,2019,39.0,\N,\N,13.08784,80.27847
IND,Hyderabad,2019,42.0,\N,\N,17.38405,78.45636
IND,Pune,2017,43.0,\N,\N,18.5053196,73.8238391
IND,Mumbai,2019,43.0,\N,\N,19.07283,72.88261
IND,Chennai,2017,48.0,\N,\N,13.07684962,80.24841742
IND,Panchkula,2017,52.0,\N,\N,30.69999455,76.8568725
IND,Panchkula,2016,54.0,\N,\N,30.70192157,76.85564204
IND,Hyderabad,2018,59.0,\N,\N,17.38405,78.45636
IND,Ahmedabad,2015,65.0,\N,\N,22.99616667,72.59958333
IND,Kolkata,2019,68.0,\N,\N,22.56263,88.36304
IND,Kolkata,2016,77.0,\N,\N,22.55518467,88.355002
IND,Jodhpur,2017,83.0,\N,\N,26.4726,74.6415
IND,Jodhpur,2016,97.0,\N,\N,26.3522426,73.57244074
IND,Jaipur,2016,105.0,\N,\N,26.9738778,75.77387778
IND,Muzaffarpur,2017,105.0,\N,\N,26.1237,85.3803
IND,Delhi,2018,106.0,\N,\N,28.63576,77.22445
IND,Ajmer,2017,110.0,\N,\N,26.4726871,74.6415071
IND,Muzaffarpur,2016,123.0,\N,\N,26.09203333,85.4011
IND,Patna,2016,144.0,\N,\N,25.3636,85.0755
IND,Lucknow,2016,150.0,\N,\N,26.84321122,80.93628382
IND,Faridabad,2017,161.0,\N,\N,28.4089726,77.3160664
IND,Lucknow,2017,163.0,\N,\N,26.83754143,80.91211377
IND,Gaya,2016,165.0,\N,\N,24.7631796,84.96485967
IND,Faridabad,2016,168.0,\N,\N,28.40973901,77.3145388
IND,Kanpur,2016,171.0,\N,\N,26.47073617,80.32470153
IND,Gaya,2017,178.0,\N,\N,24.7916,85.0069
IND,Kanpur,2017,207.0,\N,\N,26.4715909,80.3237548
IND,Gaya,2015,252.0,\N,\N,24.7916,85.0069
IND,Ahmedabad,2017,436.0,\N,\N,22.9962,72.5996
IND,Guwahati,2011,\N,\N,14.0,26.1594,91.74274
IND,Nagpur,2018,\N,\N,34.0,19.9629,79.2981
IND,Pimpri-chinchwad,2014,\N,\N,41.0,18.5716,73.8376
IND,Tuticorin,2010,\N,\N,19.0,8.8091,78.1452
AFG,Kabul,2019,120.0,\N,\N,34.53581,69.19051
ALB,Elbasan,2015,\N,\N,24.0,41.111,20.0817
ALB,Elbasan,2016,\N,\N,26.0,41.111,20.0817
ALB,Elbasan,2017,\N,\N,25.0,41.111,20.0817
